model,level,min_coverage,max_coverage,avg_coverage,coverage_type
nHDP_KG,level1,0.0079,0.0526,0.03025,Coverage_simple
nHDP_KG,level2,0.0016,0.0196,0.008499999999999999,Coverage_simple
nHDP_KG,level1,-19.970012187295406,-18.498923924659096,-19.234468055977253,Coverage_doc
nHDP_KG,level2,-22.63291116287352,-19.624949597786618,-21.371947103150223,Coverage_doc
nHDP_KG,level1,-4.990215755374032,2.053156608658212,-1.46852957335791,Coverage_vocab
nHDP_KG,level2,-1.3910240472095572,4.235018408332281,2.258504045818824,Coverage_vocab
hLDA,level0,0.0582,0.0582,0.0582,Coverage_simple
hLDA,level1,0.0,0.042,0.004785185185185186,Coverage_simple
hLDA,level2,0.0,0.0534,0.0004997324414715719,Coverage_simple
hLDA,level0,-16.657201844528995,-16.657201844528995,-16.657201844528995,Coverage_doc
hLDA,level1,-25.18937134934684,-20.436027797796864,-23.372123443096807,Coverage_doc
hLDA,level2,-27.17733270726638,-19.221969007603448,-25.781403223331502,Coverage_doc
hLDA,level0,-5.117051846421718,-5.117051846421718,-5.117051846421718,Coverage_vocab
hLDA,level1,-5.974387739619876,9.474420307621596,4.773532485420836,Coverage_vocab
hLDA,level2,-5.6215885871605975,9.81164931067093,7.6764018966365475,Coverage_vocab
SawETM,level1,0.01,0.0431,0.02655,Coverage_simple
SawETM,level2,0.0063,0.0451,0.01835,Coverage_simple
SawETM,level1,-20.78858654466728,-18.781078207623658,-19.784832376145467,Coverage_doc
SawETM,level2,-22.257971463433233,-19.840510214667244,-20.950549079509518,Coverage_doc
SawETM,level1,-5.729865347829912,1.7096756416828505,-2.0100948530735305,Coverage_vocab
SawETM,level2,-3.107393232870982,2.8228737348257464,-0.2534071780505552,Coverage_vocab
Traco,level1,0.0001,0.0001,0.0001,Coverage_simple
Traco,level2,0.0002,0.0112,0.0034000000000000002,Coverage_simple
Traco,level1,-20.503771219444946,-18.879905517736326,-19.691838368590638,Coverage_doc
Traco,level2,-23.314230235759418,-20.998986113641042,-22.001514144574045,Coverage_doc
Traco,level1,7.208429678990476,8.278704927749011,7.743567303369744,Coverage_vocab
Traco,level2,-1.1590818868535095,7.718894677939836,4.166327542210342,Coverage_vocab
HyperMiner,level1,0.01,0.0465,0.02825,Coverage_simple
HyperMiner,level2,0.0041,0.0452,0.022899999999999997,Coverage_simple
HyperMiner,level1,-20.055749247480716,-19.493165430569174,-19.774457339024945,Coverage_doc
HyperMiner,level2,-21.26309452796161,-19.5313883642807,-20.420905594144433,Coverage_doc
HyperMiner,level1,-4.988074901497685,1.7096756416828505,-1.639199629907417,Coverage_vocab
HyperMiner,level2,-5.31265320981267,2.8734434247877205,-1.0696493842875034,Coverage_vocab
