level2,entities,level1
wordnet_institution_108053576,/m/02ccqg,wordnet_organization_108008335
wordnet_institution_108053576,/m/01_lh1,wordnet_organization_108008335
wordnet_institution_108053576,/m/0bsnm,wordnet_organization_108008335
wordnet_institution_108053576,/m/0gl5_,wordnet_organization_108008335
wordnet_institution_108053576,/m/01y67v,wordnet_organization_108008335
wordnet_institution_108053576,/m/017jv5,wordnet_organization_108008335
wordnet_institution_108053576,/m/01j_9c,wordnet_organization_108008335
wordnet_institution_108053576,/m/01k2wn,wordnet_organization_108008335
wordnet_institution_108053576,/m/02x2097,wordnet_organization_108008335
wordnet_institution_108053576,/m/03vtfp,wordnet_organization_108008335
wordnet_institution_108053576,/m/038czx,wordnet_organization_108008335
wordnet_institution_108053576,/m/09glbnt,wordnet_organization_108008335
wordnet_institution_108053576,/m/0nzm,wordnet_organization_108008335
wordnet_institution_108053576,/m/01_r9k,wordnet_organization_108008335
wordnet_institution_108053576,/m/01pf21,wordnet_organization_108008335
wordnet_institution_108053576,/m/04rtpt,wordnet_organization_108008335
wordnet_institution_108053576,/m/01k3s2,wordnet_organization_108008335
wordnet_institution_108053576,/m/049ql1,wordnet_organization_108008335
wordnet_institution_108053576,/m/01_qgp,wordnet_organization_108008335
wordnet_institution_108053576,/m/06q07,wordnet_organization_108008335
wordnet_institution_108053576,/m/0g2hw4,wordnet_organization_108008335
wordnet_institution_108053576,/m/08l_c1,wordnet_organization_108008335
wordnet_institution_108053576,/m/01w56k,wordnet_organization_108008335
wordnet_institution_108053576,/m/086xm,wordnet_organization_108008335
wordnet_institution_108053576,/m/0kw4j,wordnet_organization_108008335
wordnet_institution_108053576,/m/0gsg7,wordnet_organization_108008335
wordnet_institution_108053576,/m/043q2z,wordnet_organization_108008335
wordnet_institution_108053576,/m/03x9yr,wordnet_organization_108008335
wordnet_institution_108053576,/m/09j_g,wordnet_organization_108008335
wordnet_institution_108053576,/m/01y17m,wordnet_organization_108008335
wordnet_institution_108053576,/m/02hwww,wordnet_organization_108008335
wordnet_institution_108053576,/m/01fpvz,wordnet_organization_108008335
wordnet_institution_108053576,/m/01b1mj,wordnet_organization_108008335
wordnet_institution_108053576,/m/01jsk6,wordnet_organization_108008335
wordnet_institution_108053576,/m/08z129,wordnet_organization_108008335
wordnet_institution_108053576,/m/01ptt7,wordnet_organization_108008335
wordnet_institution_108053576,/m/014l4w,wordnet_organization_108008335
wordnet_institution_108053576,/m/01xcgf,wordnet_organization_108008335
wordnet_institution_108053576,/m/030w19,wordnet_organization_108008335
wordnet_institution_108053576,/m/02rjz5,wordnet_organization_108008335
wordnet_institution_108053576,/m/04p_hy,wordnet_organization_108008335
wordnet_institution_108053576,/m/0fbq2n,wordnet_organization_108008335
wordnet_institution_108053576,/m/03b04g,wordnet_organization_108008335
wordnet_institution_108053576,/m/022xml,wordnet_organization_108008335
wordnet_institution_108053576,/m/0jvs0,wordnet_organization_108008335
wordnet_institution_108053576,/m/07gqbk,wordnet_organization_108008335
wordnet_institution_108053576,/m/019rl6,wordnet_organization_108008335
wordnet_institution_108053576,/m/0915l1,wordnet_organization_108008335
wordnet_institution_108053576,/m/07w6r,wordnet_organization_108008335
wordnet_institution_108053576,/m/017v71,wordnet_organization_108008335
wordnet_institution_108053576,/m/02n61z,wordnet_organization_108008335
wordnet_institution_108053576,/m/0mzkr,wordnet_organization_108008335
wordnet_institution_108053576,/m/02583l,wordnet_organization_108008335
wordnet_institution_108053576,/m/025v3k,wordnet_organization_108008335
wordnet_institution_108053576,/m/05808s,wordnet_organization_108008335
wordnet_institution_108053576,/m/02bf58,wordnet_organization_108008335
wordnet_institution_108053576,/m/03hbbc,wordnet_organization_108008335
wordnet_institution_108053576,/m/045xx,wordnet_organization_108008335
wordnet_institution_108053576,/m/03v9yw,wordnet_organization_108008335
wordnet_institution_108053576,/m/024rbz,wordnet_organization_108008335
wordnet_institution_108053576,/m/08815,wordnet_organization_108008335
wordnet_institution_108053576,/m/05x_5,wordnet_organization_108008335
wordnet_institution_108053576,/m/05wpnx,wordnet_organization_108008335
wordnet_institution_108053576,/m/021s9n,wordnet_organization_108008335
wordnet_institution_108053576,/m/025txrl,wordnet_organization_108008335
wordnet_institution_108053576,/m/019z7b,wordnet_organization_108008335
wordnet_institution_108053576,/m/01dfb6,wordnet_organization_108008335
wordnet_institution_108053576,/m/01cf5,wordnet_organization_108008335
wordnet_institution_108053576,/m/026f5s,wordnet_organization_108008335
wordnet_institution_108053576,/m/0k8z,wordnet_organization_108008335
wordnet_institution_108053576,/m/01d34b,wordnet_organization_108008335
wordnet_institution_108053576,/m/01_s9q,wordnet_organization_108008335
wordnet_institution_108053576,/m/04qbv,wordnet_organization_108008335
wordnet_institution_108053576,/m/05th69,wordnet_organization_108008335
wordnet_institution_108053576,/m/01w_sh,wordnet_organization_108008335
wordnet_institution_108053576,/m/01fsv9,wordnet_organization_108008335
wordnet_institution_108053576,/m/025t8bv,wordnet_organization_108008335
wordnet_institution_108053576,/m/0173s9,wordnet_organization_108008335
wordnet_institution_108053576,/m/09d5h,wordnet_organization_108008335
wordnet_institution_108053576,/m/01p5xy,wordnet_organization_108008335
wordnet_institution_108053576,/m/06gst,wordnet_organization_108008335
wordnet_institution_108053576,/m/08wjc1,wordnet_organization_108008335
wordnet_institution_108053576,/m/02237m,wordnet_organization_108008335
wordnet_institution_108053576,/m/01hhvg,wordnet_organization_108008335
wordnet_institution_108053576,/m/030jj7,wordnet_organization_108008335
wordnet_institution_108053576,/m/0l2tk,wordnet_organization_108008335
wordnet_institution_108053576,/m/0177sq,wordnet_organization_108008335
wordnet_institution_108053576,/m/06jplb,wordnet_organization_108008335
wordnet_institution_108053576,/m/03205_,wordnet_organization_108008335
wordnet_institution_108053576,/m/050xpd,wordnet_organization_108008335
wordnet_institution_108053576,/m/02gnh0,wordnet_organization_108008335
wordnet_institution_108053576,/m/0gk7z,wordnet_organization_108008335
wordnet_institution_108053576,/m/07vj4v,wordnet_organization_108008335
wordnet_institution_108053576,/m/09tlc8,wordnet_organization_108008335
wordnet_institution_108053576,/m/04czhj,wordnet_organization_108008335
wordnet_institution_108053576,/m/0172jm,wordnet_organization_108008335
wordnet_institution_108053576,/m/0283xx2,wordnet_organization_108008335
wordnet_institution_108053576,/m/0p7tb,wordnet_organization_108008335
wordnet_institution_108053576,/m/08tyb_,wordnet_organization_108008335
wordnet_institution_108053576,/m/081bls,wordnet_organization_108008335
wordnet_institution_108053576,/m/01qrb2,wordnet_organization_108008335
wordnet_institution_108053576,/m/041p3y,wordnet_organization_108008335
wordnet_institution_108053576,/m/03ly1b,wordnet_organization_108008335
wordnet_institution_108053576,/m/06pwfk,wordnet_organization_108008335
wordnet_institution_108053576,/m/0y54,wordnet_organization_108008335
wordnet_institution_108053576,/m/01s7j5,wordnet_organization_108008335
wordnet_institution_108053576,/m/01w1w9,wordnet_organization_108008335
wordnet_institution_108053576,/m/03t28q,wordnet_organization_108008335
wordnet_institution_108053576,/m/08pn_9,wordnet_organization_108008335
wordnet_institution_108053576,/m/0dd2f,wordnet_organization_108008335
wordnet_institution_108053576,/m/06c7mk,wordnet_organization_108008335
wordnet_institution_108053576,/m/02lwv5,wordnet_organization_108008335
wordnet_institution_108053576,/m/02brqp,wordnet_organization_108008335
wordnet_institution_108053576,/m/05rrtf,wordnet_organization_108008335
wordnet_institution_108053576,/m/069vt,wordnet_organization_108008335
wordnet_institution_108053576,/m/0ym4t,wordnet_organization_108008335
wordnet_institution_108053576,/m/01dq0z,wordnet_organization_108008335
wordnet_institution_108053576,/m/02p3cr5,wordnet_organization_108008335
wordnet_institution_108053576,/m/02r5dz,wordnet_organization_108008335
wordnet_institution_108053576,/m/046b0s,wordnet_organization_108008335
wordnet_institution_108053576,/m/01y68z,wordnet_organization_108008335
wordnet_institution_108053576,/m/017l96,wordnet_organization_108008335
wordnet_institution_108053576,/m/025v1sx,wordnet_organization_108008335
wordnet_institution_108053576,/m/01b39j,wordnet_organization_108008335
wordnet_institution_108053576,/m/06b7s9,wordnet_organization_108008335
wordnet_institution_108053576,/m/02qdyj,wordnet_organization_108008335
wordnet_institution_108053576,/m/0jpkw,wordnet_organization_108008335
wordnet_institution_108053576,/m/04sv4,wordnet_organization_108008335
wordnet_institution_108053576,/m/01wdj_,wordnet_organization_108008335
wordnet_institution_108053576,/m/01w31x,wordnet_organization_108008335
wordnet_institution_108053576,/m/03x23q,wordnet_organization_108008335
wordnet_institution_108053576,/m/04mkft,wordnet_organization_108008335
wordnet_institution_108053576,/m/024cg8,wordnet_organization_108008335
wordnet_institution_108053576,/m/01hl_w,wordnet_organization_108008335
wordnet_institution_108053576,/m/0974y,wordnet_organization_108008335
wordnet_institution_108053576,/m/01zn4y,wordnet_organization_108008335
wordnet_institution_108053576,/m/09b3v,wordnet_organization_108008335
wordnet_institution_108053576,/m/06dqt,wordnet_organization_108008335
wordnet_institution_108053576,/m/019q50,wordnet_organization_108008335
wordnet_institution_108053576,/m/01pq4w,wordnet_organization_108008335
wordnet_institution_108053576,/m/02975m,wordnet_organization_108008335
wordnet_institution_108053576,/m/026wmz6,wordnet_organization_108008335
wordnet_institution_108053576,/m/0g1rw,wordnet_organization_108008335
wordnet_institution_108053576,/m/0885n,wordnet_organization_108008335
wordnet_institution_108053576,/m/025rcc,wordnet_organization_108008335
wordnet_institution_108053576,/m/01jpyb,wordnet_organization_108008335
wordnet_institution_108053576,/m/078bz,wordnet_organization_108008335
wordnet_institution_108053576,/m/01y9qr,wordnet_organization_108008335
wordnet_institution_108053576,/m/01jvxb,wordnet_organization_108008335
wordnet_institution_108053576,/m/02l48d,wordnet_organization_108008335
wordnet_institution_108053576,/m/027jw0c,wordnet_organization_108008335
wordnet_institution_108053576,/m/015zyd,wordnet_organization_108008335
wordnet_institution_108053576,/m/07svc3,wordnet_organization_108008335
wordnet_institution_108053576,/m/0dmtp,wordnet_organization_108008335
wordnet_institution_108053576,/m/05byxm,wordnet_organization_108008335
wordnet_institution_108053576,/m/029qzx,wordnet_organization_108008335
wordnet_institution_108053576,/m/07w4j,wordnet_organization_108008335
wordnet_institution_108053576,/m/01qdhx,wordnet_organization_108008335
wordnet_institution_108053576,/m/04344j,wordnet_organization_108008335
wordnet_institution_108053576,/m/032j_n,wordnet_organization_108008335
wordnet_institution_108053576,/m/01cf93,wordnet_organization_108008335
wordnet_institution_108053576,/m/05925,wordnet_organization_108008335
wordnet_institution_108053576,/m/04rkkv,wordnet_organization_108008335
wordnet_institution_108053576,/m/01ymvk,wordnet_organization_108008335
wordnet_institution_108053576,/m/027ydt,wordnet_organization_108008335
wordnet_institution_108053576,/m/01qckn,wordnet_organization_108008335
wordnet_institution_108053576,/m/037s9x,wordnet_organization_108008335
wordnet_institution_108053576,/m/02rh_0,wordnet_organization_108008335
wordnet_institution_108053576,/m/04b_46,wordnet_organization_108008335
