classes,entities,level1classes
wordnet_institution_108053576,/m/0269kx,wordnet_organization_108008335
wordnet_institution_108053576,/m/02nq10,wordnet_organization_108008335
wordnet_institution_108053576,/m/037fqp,wordnet_organization_108008335
wordnet_institution_108053576,/m/01qy6m,wordnet_organization_108008335
wordnet_institution_108053576,/m/05s34b,wordnet_organization_108008335
wordnet_institution_108053576,/m/04f0xq,wordnet_organization_108008335
wordnet_institution_108053576,/m/03x8cz,wordnet_organization_108008335
wordnet_institution_108053576,/m/01f6ss,wordnet_organization_108008335
wordnet_institution_108053576,/m/07w3r,wordnet_organization_108008335
wordnet_institution_108053576,/m/01dthg,wordnet_organization_108008335
wordnet_institution_108053576,/m/07xpm,wordnet_organization_108008335
wordnet_institution_108053576,/m/030_1_,wordnet_organization_108008335
wordnet_institution_108053576,/m/02fjzt,wordnet_organization_108008335
wordnet_institution_108053576,/m/04jr87,wordnet_organization_108008335
wordnet_institution_108053576,/m/03qk20,wordnet_organization_108008335
wordnet_institution_108053576,/m/01hhvg,wordnet_organization_108008335
wordnet_institution_108053576,/m/01cvxf,wordnet_organization_108008335
wordnet_institution_108053576,/m/017z88,wordnet_organization_108008335
wordnet_institution_108053576,/m/09f2j,wordnet_organization_108008335
wordnet_institution_108053576,/m/01jpyb,wordnet_organization_108008335
wordnet_institution_108053576,/m/05qd_,wordnet_organization_108008335
wordnet_institution_108053576,/m/07k53y,wordnet_organization_108008335
wordnet_institution_108053576,/m/07tjf,wordnet_organization_108008335
wordnet_institution_108053576,/m/02mj7c,wordnet_organization_108008335
wordnet_institution_108053576,/m/02zs4,wordnet_organization_108008335
wordnet_institution_108053576,/m/03vv61,wordnet_organization_108008335
wordnet_institution_108053576,/m/041n43,wordnet_organization_108008335
wordnet_institution_108053576,/m/03x1s8,wordnet_organization_108008335
wordnet_institution_108053576,/m/04qhdf,wordnet_organization_108008335
wordnet_institution_108053576,/m/02w2bc,wordnet_organization_108008335
wordnet_institution_108053576,/m/01k2wn,wordnet_organization_108008335
wordnet_institution_108053576,/m/06nfl,wordnet_organization_108008335
wordnet_institution_108053576,/m/022jr5,wordnet_organization_108008335
wordnet_institution_108053576,/m/01dyk8,wordnet_organization_108008335
wordnet_institution_108053576,/m/0h6rm,wordnet_organization_108008335
wordnet_institution_108053576,/m/086hg9,wordnet_organization_108008335
wordnet_institution_108053576,/m/022lly,wordnet_organization_108008335
wordnet_institution_108053576,/m/04hgpt,wordnet_organization_108008335
wordnet_institution_108053576,/m/05clg8,wordnet_organization_108008335
wordnet_institution_108053576,/m/01_qgp,wordnet_organization_108008335
wordnet_institution_108053576,/m/05cl8y,wordnet_organization_108008335
wordnet_institution_108053576,/m/019c57,wordnet_organization_108008335
wordnet_institution_108053576,/m/011xy1,wordnet_organization_108008335
wordnet_institution_108053576,/m/01dbns,wordnet_organization_108008335
wordnet_institution_108053576,/m/07tds,wordnet_organization_108008335
wordnet_institution_108053576,/m/0229rs,wordnet_organization_108008335
wordnet_institution_108053576,/m/04ftdq,wordnet_organization_108008335
wordnet_institution_108053576,/m/02l48d,wordnet_organization_108008335
wordnet_institution_108053576,/m/06py2,wordnet_organization_108008335
wordnet_institution_108053576,/m/04gm7n,wordnet_organization_108008335
wordnet_institution_108053576,/m/043fz4,wordnet_organization_108008335
wordnet_institution_108053576,/m/015cz0,wordnet_organization_108008335
wordnet_institution_108053576,/m/01hx2t,wordnet_organization_108008335
wordnet_institution_108053576,/m/05s_k6,wordnet_organization_108008335
wordnet_institution_108053576,/m/04b_46,wordnet_organization_108008335
wordnet_institution_108053576,/m/03hbbc,wordnet_organization_108008335
wordnet_institution_108053576,/m/023znp,wordnet_organization_108008335
wordnet_institution_108053576,/m/02fs_d,wordnet_organization_108008335
wordnet_institution_108053576,/m/01skcy,wordnet_organization_108008335
wordnet_institution_108053576,/m/09xzd,wordnet_organization_108008335
wordnet_institution_108053576,/m/017y26,wordnet_organization_108008335
wordnet_institution_108053576,/m/02_gzx,wordnet_organization_108008335
wordnet_institution_108053576,/m/018sg9,wordnet_organization_108008335
wordnet_institution_108053576,/m/0fb0v,wordnet_organization_108008335
wordnet_institution_108053576,/m/05glt,wordnet_organization_108008335
wordnet_institution_108053576,/m/08t9df,wordnet_organization_108008335
wordnet_institution_108053576,/m/0yl_w,wordnet_organization_108008335
wordnet_institution_108053576,/m/0z90c,wordnet_organization_108008335
wordnet_institution_108053576,/m/0g5lhl7,wordnet_organization_108008335
wordnet_institution_108053576,/m/04rwx,wordnet_organization_108008335
wordnet_institution_108053576,/m/05rrtf,wordnet_organization_108008335
wordnet_institution_108053576,/m/01t7jy,wordnet_organization_108008335
wordnet_institution_108053576,/m/01v3rb,wordnet_organization_108008335
wordnet_institution_108053576,/m/0hm0k,wordnet_organization_108008335
wordnet_institution_108053576,/m/02bd_f,wordnet_organization_108008335
wordnet_institution_108053576,/m/01rs62,wordnet_organization_108008335
wordnet_institution_108053576,/m/05njyy,wordnet_organization_108008335
wordnet_institution_108053576,/m/05gnf,wordnet_organization_108008335
wordnet_institution_108053576,/m/01bdhf,wordnet_organization_108008335
wordnet_institution_108053576,/m/05f260,wordnet_organization_108008335
wordnet_institution_108053576,/m/0by292,wordnet_organization_108008335
wordnet_institution_108053576,/m/054f2k,wordnet_organization_108008335
wordnet_institution_108053576,/m/05gjfk,wordnet_organization_108008335
wordnet_institution_108053576,/m/0gk7z,wordnet_organization_108008335
wordnet_institution_108053576,/m/0xxc,wordnet_organization_108008335
wordnet_institution_108053576,/m/02f46y,wordnet_organization_108008335
wordnet_institution_108053576,/m/01d34b,wordnet_organization_108008335
wordnet_institution_108053576,/m/01j_5k,wordnet_organization_108008335
wordnet_institution_108053576,/m/01hl_w,wordnet_organization_108008335
wordnet_institution_108053576,/m/017l96,wordnet_organization_108008335
wordnet_institution_108053576,/m/05x_5,wordnet_organization_108008335
wordnet_institution_108053576,/m/02d9nr,wordnet_organization_108008335
wordnet_institution_108053576,/m/02kzfw,wordnet_organization_108008335
wordnet_institution_108053576,/m/01jswq,wordnet_organization_108008335
wordnet_institution_108053576,/m/01qqv5,wordnet_organization_108008335
wordnet_institution_108053576,/m/01qf54,wordnet_organization_108008335
wordnet_institution_108053576,/m/093h7p,wordnet_organization_108008335
wordnet_institution_108053576,/m/06dr9,wordnet_organization_108008335
wordnet_institution_108053576,/m/0204jh,wordnet_organization_108008335
wordnet_institution_108053576,/m/02x9cv,wordnet_organization_108008335
wordnet_institution_108053576,/m/02hp6p,wordnet_organization_108008335
wordnet_institution_108053576,/m/02rky4,wordnet_organization_108008335
wordnet_institution_108053576,/m/03czrpj,wordnet_organization_108008335
wordnet_institution_108053576,/m/07ccs,wordnet_organization_108008335
wordnet_institution_108053576,/m/07vjm,wordnet_organization_108008335
wordnet_institution_108053576,/m/01g4yw,wordnet_organization_108008335
wordnet_institution_108053576,/m/01pdgp,wordnet_organization_108008335
wordnet_institution_108053576,/m/01jq0j,wordnet_organization_108008335
wordnet_institution_108053576,/m/026ssfj,wordnet_organization_108008335
wordnet_institution_108053576,/m/017hnw,wordnet_organization_108008335
wordnet_institution_108053576,/m/04399,wordnet_organization_108008335
wordnet_institution_108053576,/m/02m0b0,wordnet_organization_108008335
wordnet_institution_108053576,/m/0ny75,wordnet_organization_108008335
wordnet_institution_108053576,/m/07wjk,wordnet_organization_108008335
wordnet_institution_108053576,/m/07l1c,wordnet_organization_108008335
wordnet_institution_108053576,/m/08z84_,wordnet_organization_108008335
wordnet_institution_108053576,/m/01ljpm,wordnet_organization_108008335
wordnet_institution_108053576,/m/05808s,wordnet_organization_108008335
wordnet_institution_108053576,/m/088gzp,wordnet_organization_108008335
wordnet_institution_108053576,/m/02482c,wordnet_organization_108008335
wordnet_institution_108053576,/m/0g2hw4,wordnet_organization_108008335
wordnet_institution_108053576,/m/049mr,wordnet_organization_108008335
wordnet_institution_108053576,/m/015401,wordnet_organization_108008335
wordnet_institution_108053576,/m/02s62q,wordnet_organization_108008335
wordnet_institution_108053576,/m/08l_c1,wordnet_organization_108008335
wordnet_institution_108053576,/m/02m0sc,wordnet_organization_108008335
wordnet_institution_108053576,/m/033gn8,wordnet_organization_108008335
wordnet_institution_108053576,/m/02dk5q,wordnet_organization_108008335
wordnet_institution_108053576,/m/01znbj,wordnet_organization_108008335
wordnet_institution_108053576,/m/017d77,wordnet_organization_108008335
wordnet_institution_108053576,/m/049vhf,wordnet_organization_108008335
wordnet_institution_108053576,/m/02h7qr,wordnet_organization_108008335
wordnet_institution_108053576,/m/01npw8,wordnet_organization_108008335
wordnet_institution_108053576,/m/02hft3,wordnet_organization_108008335
wordnet_institution_108053576,/m/01qd_r,wordnet_organization_108008335
wordnet_institution_108053576,/m/09krm_,wordnet_organization_108008335
wordnet_institution_108053576,/m/05xltf,wordnet_organization_108008335
wordnet_institution_108053576,/m/04k4rt,wordnet_organization_108008335
wordnet_institution_108053576,/m/01_k7f,wordnet_organization_108008335
wordnet_institution_108053576,/m/01_8w2,wordnet_organization_108008335
wordnet_institution_108053576,/m/06x6s,wordnet_organization_108008335
wordnet_institution_108053576,/m/03hfx6c,wordnet_organization_108008335
wordnet_institution_108053576,/m/0187nd,wordnet_organization_108008335
wordnet_institution_108053576,/m/0br2wp,wordnet_organization_108008335
wordnet_institution_108053576,/m/02rk23,wordnet_organization_108008335
wordnet_institution_108053576,/m/01w56k,wordnet_organization_108008335
wordnet_institution_108053576,/m/01wdtv,wordnet_organization_108008335
wordnet_institution_108053576,/m/0f38nv,wordnet_organization_108008335
wordnet_institution_108053576,/m/0fsb_6,wordnet_organization_108008335
wordnet_institution_108053576,/m/05zl0,wordnet_organization_108008335
wordnet_institution_108053576,/m/030_1m,wordnet_organization_108008335
wordnet_institution_108053576,/m/015wy_,wordnet_organization_108008335
wordnet_institution_108053576,/m/0cv_2,wordnet_organization_108008335
wordnet_institution_108053576,/m/04p_hy,wordnet_organization_108008335
wordnet_institution_108053576,/m/01_f90,wordnet_organization_108008335
wordnet_institution_108053576,/m/07kbp5,wordnet_organization_108008335
wordnet_institution_108053576,/m/01r3y2,wordnet_organization_108008335
wordnet_institution_108053576,/m/01clyr,wordnet_organization_108008335
wordnet_institution_108053576,/m/01bfjy,wordnet_organization_108008335
wordnet_institution_108053576,/m/01bzs9,wordnet_organization_108008335
wordnet_institution_108053576,/m/06pwfk,wordnet_organization_108008335
wordnet_institution_108053576,/m/07zl6m,wordnet_organization_108008335
wordnet_institution_108053576,/m/07x4c,wordnet_organization_108008335
wordnet_institution_108053576,/m/0lvng,wordnet_organization_108008335
wordnet_institution_108053576,/m/02y21l,wordnet_organization_108008335
wordnet_institution_108053576,/m/01cwdk,wordnet_organization_108008335
wordnet_institution_108053576,/m/01wqg8,wordnet_organization_108008335
wordnet_institution_108053576,/m/0cqt41,wordnet_organization_108008335
wordnet_institution_108053576,/m/02c9dj,wordnet_organization_108008335
wordnet_institution_108053576,/m/0bsnm,wordnet_organization_108008335
wordnet_institution_108053576,/m/0n85g,wordnet_organization_108008335
wordnet_institution_108053576,/m/0178g,wordnet_organization_108008335
wordnet_institution_108053576,/m/0j86l,wordnet_organization_108008335
wordnet_institution_108053576,/m/05bjp6,wordnet_organization_108008335
wordnet_institution_108053576,/m/021w0_,wordnet_organization_108008335
wordnet_institution_108053576,/m/032j_n,wordnet_organization_108008335
wordnet_institution_108053576,/m/03818y,wordnet_organization_108008335
wordnet_institution_108053576,/m/02p11jq,wordnet_organization_108008335
wordnet_institution_108053576,/m/019rl6,wordnet_organization_108008335
wordnet_institution_108053576,/m/026db_,wordnet_organization_108008335
wordnet_institution_108053576,/m/01h8rk,wordnet_organization_108008335
wordnet_institution_108053576,/m/06rfy5,wordnet_organization_108008335
wordnet_institution_108053576,/m/02dgq2,wordnet_organization_108008335
wordnet_institution_108053576,/m/02fgdx,wordnet_organization_108008335
wordnet_institution_108053576,/m/01p5xy,wordnet_organization_108008335
wordnet_institution_108053576,/m/06gst,wordnet_organization_108008335
wordnet_institution_108053576,/m/01tkfj,wordnet_organization_108008335
wordnet_institution_108053576,/m/05k6d,wordnet_organization_108008335
wordnet_institution_108053576,/m/0498yf,wordnet_organization_108008335
wordnet_institution_108053576,/m/08z129,wordnet_organization_108008335
wordnet_institution_108053576,/m/02gkxp,wordnet_organization_108008335
wordnet_institution_108053576,/m/02ldmw,wordnet_organization_108008335
wordnet_institution_108053576,/m/0fnmz,wordnet_organization_108008335
wordnet_institution_108053576,/m/0181dw,wordnet_organization_108008335
wordnet_institution_108053576,/m/09zcbg,wordnet_organization_108008335
wordnet_institution_108053576,/m/025hwq,wordnet_organization_108008335
wordnet_institution_108053576,/m/05m_8,wordnet_organization_108008335
wordnet_institution_108053576,/m/07wlf,wordnet_organization_108008335
wordnet_institution_108053576,/m/09vzz,wordnet_organization_108008335
wordnet_institution_108053576,/m/051pnv,wordnet_organization_108008335
wordnet_institution_108053576,/m/0177sq,wordnet_organization_108008335
wordnet_institution_108053576,/m/06mvyf,wordnet_organization_108008335
wordnet_institution_108053576,/m/05t7c1,wordnet_organization_108008335
wordnet_institution_108053576,/m/02n61z,wordnet_organization_108008335
wordnet_institution_108053576,/m/01_r9k,wordnet_organization_108008335
wordnet_institution_108053576,/m/0211jt,wordnet_organization_108008335
wordnet_institution_108053576,/m/01qgr3,wordnet_organization_108008335
wordnet_institution_108053576,/m/0nzm,wordnet_organization_108008335
wordnet_institution_108053576,/m/030w19,wordnet_organization_108008335
wordnet_institution_108053576,/m/02p3cr5,wordnet_organization_108008335
wordnet_institution_108053576,/m/03w7kx,wordnet_organization_108008335
wordnet_institution_108053576,/m/02jztz,wordnet_organization_108008335
wordnet_institution_108053576,/m/024rbz,wordnet_organization_108008335
wordnet_institution_108053576,/m/09r4xx,wordnet_organization_108008335
wordnet_institution_108053576,/m/019pwv,wordnet_organization_108008335
wordnet_institution_108053576,/m/03qh03g,wordnet_organization_108008335
wordnet_institution_108053576,/m/0j8cs,wordnet_organization_108008335
wordnet_institution_108053576,/m/02kbtf,wordnet_organization_108008335
wordnet_institution_108053576,/m/0bvz6,wordnet_organization_108008335
wordnet_institution_108053576,/m/0k9ctht,wordnet_organization_108008335
wordnet_institution_108053576,/m/041xyk,wordnet_organization_108008335
wordnet_institution_108053576,/m/05k17c,wordnet_organization_108008335
wordnet_institution_108053576,/m/05925,wordnet_organization_108008335
wordnet_institution_108053576,/m/05njw,wordnet_organization_108008335
wordnet_institution_108053576,/m/07wpm,wordnet_organization_108008335
wordnet_institution_108053576,/m/01jv1z,wordnet_organization_108008335
wordnet_institution_108053576,/m/012gyf,wordnet_organization_108008335
wordnet_institution_108053576,/m/02s8qk,wordnet_organization_108008335
wordnet_institution_108053576,/m/0bthb,wordnet_organization_108008335
wordnet_institution_108053576,/m/04sylm,wordnet_organization_108008335
wordnet_institution_108053576,/m/07k2x,wordnet_organization_108008335
wordnet_institution_108053576,/m/04htfd,wordnet_organization_108008335
wordnet_institution_108053576,/m/02kxx1,wordnet_organization_108008335
wordnet_institution_108053576,/m/0p7tb,wordnet_organization_108008335
wordnet_institution_108053576,/m/016ckq,wordnet_organization_108008335
wordnet_institution_108053576,/m/01hjy5,wordnet_organization_108008335
wordnet_institution_108053576,/m/0gy9d4,wordnet_organization_108008335
wordnet_institution_108053576,/m/01zpmq,wordnet_organization_108008335
wordnet_institution_108053576,/m/043q2z,wordnet_organization_108008335
wordnet_institution_108053576,/m/031n5b,wordnet_organization_108008335
wordnet_institution_108053576,/m/02vklm3,wordnet_organization_108008335
wordnet_institution_108053576,/m/01m_zd,wordnet_organization_108008335
wordnet_institution_108053576,/m/029qzx,wordnet_organization_108008335
wordnet_institution_108053576,/m/025jfl,wordnet_organization_108008335
wordnet_institution_108053576,/m/0dwcl,wordnet_organization_108008335
wordnet_institution_108053576,/m/018tnx,wordnet_organization_108008335
wordnet_institution_108053576,/m/03cz83,wordnet_organization_108008335
wordnet_institution_108053576,/m/02237m,wordnet_organization_108008335
wordnet_institution_108053576,/m/05qgd9,wordnet_organization_108008335
wordnet_institution_108053576,/m/02975m,wordnet_organization_108008335
wordnet_institution_108053576,/m/012fvq,wordnet_organization_108008335
wordnet_institution_108053576,/m/01l8t8,wordnet_organization_108008335
wordnet_institution_108053576,/m/03205_,wordnet_organization_108008335
wordnet_institution_108053576,/m/01jpqb,wordnet_organization_108008335
wordnet_institution_108053576,/m/045xx,wordnet_organization_108008335
wordnet_institution_108053576,/m/01wdl3,wordnet_organization_108008335
wordnet_institution_108053576,/m/01gfq4,wordnet_organization_108008335
wordnet_institution_108053576,/m/03bxpt0,wordnet_organization_108008335
wordnet_institution_108053576,/m/01c9x,wordnet_organization_108008335
wordnet_institution_108053576,/m/01xjx6,wordnet_organization_108008335
wordnet_institution_108053576,/m/02htv6,wordnet_organization_108008335
wordnet_institution_108053576,/m/069vt,wordnet_organization_108008335
wordnet_institution_108053576,/m/059wk,wordnet_organization_108008335
wordnet_institution_108053576,/m/02hwww,wordnet_organization_108008335
wordnet_institution_108053576,/m/02m_41,wordnet_organization_108008335
wordnet_institution_108053576,/m/06l32y,wordnet_organization_108008335
wordnet_institution_108053576,/m/07vht,wordnet_organization_108008335
wordnet_institution_108053576,/m/02psgvg,wordnet_organization_108008335
