Identifier,Descriptor
/m/011_vz,"['wordnet_abstraction_100002137', 'wordnet_dance_band_108249960', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_rock_group_108250501', 'wordnet_musical_organization_108246613', 'wordnet_group_100031264']"
/m/011k11,"['wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_company_108058098', 'wordnet_institution_108053576', 'wordnet_subsidiary_company_108003935']"
/m/011kn2,"['wordnet_social_group_107950920', 'wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/011v3,"['wordnet_social_group_107950920', 'wordnet_abstraction_100002137', 'wordnet_association_108049401', 'wordnet_group_100031264', 'wordnet_organization_108008335', 'wordnet_club_108227214']"
/m/011xhx,"['wordnet_social_group_107950920', 'wordnet_musical_organization_108246613', 'wordnet_abstraction_100002137', 'wordnet_group_100031264', 'wordnet_organization_108008335']"
/m/011xy1,"['wordnet_university_108286569', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_school_108276720', 'wordnet_social_group_107950920', 'wordnet_educational_institution_108276342', 'wordnet_group_100031264']"
/m/0121c1,"['wordnet_physical_entity_100001930', 'wordnet_county_108546183', 'wordnet_location_100027167', 'wordnet_region_108630039', 'wordnet_object_100002684']"
/m/0121h7,"['wordnet_physical_entity_100001930', 'wordnet_district_108552138', 'wordnet_county_108546183', 'wordnet_location_100027167', 'wordnet_region_108630985', 'wordnet_region_108630039', 'wordnet_administrative_district_108491826', 'wordnet_object_100002684']"
/m/0121sr,"['wordnet_dramatic_composition_107007684', 'wordnet_writing_106362953', 'wordnet_communication_100033020', 'wordnet_abstraction_100002137', 'wordnet_written_communication_106349220', 'wordnet_language_106282651', 'wordnet_script_107009946']"
/m/0122wc,"['wordnet_abstraction_100002137', 'wordnet_association_108049401', 'wordnet_organization_108008335', 'wordnet_team_108208560', 'wordnet_unit_108189659', 'wordnet_social_group_107950920', 'wordnet_group_100031264', 'wordnet_club_108227214']"
/m/0123r4,"['wordnet_financial_institution_108054721', 'wordnet_institution_108053576', 'wordnet_abstraction_100002137', 'wordnet_organization_108008335', 'wordnet_social_group_107950920', 'wordnet_musical_organization_108246613', 'wordnet_foundation_108406486', 'wordnet_group_100031264', 'wordnet_charity_108406619']"
/m/01243b,"['wordnet_auditory_communication_107109019', 'wordnet_expressive_style_107066659', 'wordnet_communication_100033020', 'wordnet_music_107020895', 'wordnet_abstraction_100002137', 'wordnet_music_genre_107071942']"
