level0,level1,level2,level3
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/location http://dbpedia.org/resource/Template:Coord http://dbpedia.org/ontology/routeJunction http://dbpedia.org/ontology/owner,"http://dbpedia.org/property/p http://dbpedia.org/resource/Gothic_Revival_architecture http://dbpedia.org/property/destinations ""http://dbpedia.org/resource/Tiffin,_Ohio"" http://dbpedia.org/resource/Altona–Blankenese_railway"
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/location http://dbpedia.org/resource/Template:Coord http://dbpedia.org/ontology/routeJunction http://dbpedia.org/ontology/owner,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/resource/Taubman_Centers http://dbpedia.org/resource/Template:Infobox_shopping_mall http://dbpedia.org/resource/Stephanie_Stebich http://dbpedia.org/resource/Eleanor_Jones_Harvey
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/location http://dbpedia.org/resource/Template:Coord http://dbpedia.org/ontology/routeJunction http://dbpedia.org/ontology/owner,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/ontology/locatedInArea http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Infobox_mountain http://dbpedia.org/resource/Template:Coord
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Living_people http://dbpedia.org/ontology/birthPlace http://dbpedia.org/property/birthPlace http://dbpedia.org/ontology/almaMater,http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:English-language_journals http://dbpedia.org/ontology/academicDiscipline http://dbpedia.org/property/discipline http://dbpedia.org/resource/Category:1942_births
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Living_people http://dbpedia.org/ontology/birthPlace http://dbpedia.org/property/birthPlace http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/termPeriod http://dbpedia.org/ontology/birthPlace http://dbpedia.org/property/predecessor http://dbpedia.org/ontology/party http://dbpedia.org/property/successor
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Living_people http://dbpedia.org/ontology/birthPlace http://dbpedia.org/property/birthPlace http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/award http://dbpedia.org/resource/Category:Fellows_of_the_Royal_Society http://dbpedia.org/resource/Category:Members_of_the_United_States_National_Academy_of_Sciences http://dbpedia.org/resource/Physicist http://dbpedia.org/ontology/knownFor
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://purl.org/dc/terms/subject http://dbpedia.org/ontology/author http://dbpedia.org/property/artist http://dbpedia.org/resource/Template:Infobox_artwork http://dbpedia.org/ontology/museum,http://purl.org/dc/terms/subject http://dbpedia.org/ontology/author http://dbpedia.org/resource/Category:American_non-fiction_books http://dbpedia.org/resource/Science http://dbpedia.org/resource/Category:English-language_books
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://purl.org/dc/terms/subject http://dbpedia.org/ontology/author http://dbpedia.org/property/artist http://dbpedia.org/resource/Template:Infobox_artwork http://dbpedia.org/ontology/museum,http://dbpedia.org/ontology/starring http://dbpedia.org/property/starring http://purl.org/dc/terms/subject http://dbpedia.org/ontology/writer http://dbpedia.org/resource/Italian_language
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://purl.org/dc/terms/subject http://dbpedia.org/ontology/author http://dbpedia.org/property/artist http://dbpedia.org/resource/Template:Infobox_artwork http://dbpedia.org/ontology/museum,http://dbpedia.org/ontology/author http://dbpedia.org/property/author http://dbpedia.org/resource/Template:Infobox_book http://dbpedia.org/ontology/publisher http://dbpedia.org/property/publisher
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Reflist http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/ontology/genre http://dbpedia.org/property/genre http://dbpedia.org/resource/Alternative_rock http://dbpedia.org/resource/Android_(operating_system) http://dbpedia.org/resource/Category:1964_births,http://dbpedia.org/property/writer http://dbpedia.org/property/genre http://dbpedia.org/property/artist http://dbpedia.org/property/label http://dbpedia.org/property/nextTitle
