level0,level1,level2,level3
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:Reflist,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Living_people http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/Category:Living_people http://dbpedia.org/resource/Template:Short_description
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:Reflist,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Living_people http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/Category:Italian_male_painters http://dbpedia.org/resource/Template:Authority_control
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:Reflist,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Living_people http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/location http://dbpedia.org/resource/Waitaki_River http://dbpedia.org/resource/Template:Coord
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:Reflist,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Coord,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/property/subdivisionType http://dbpedia.org/property/subdivisionName http://dbpedia.org/ontology/subdivision
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:Reflist,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Coord,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/careerStation http://dbpedia.org/ontology/team
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:Reflist,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/property/location http://dbpedia.org/resource/Template:Coord,http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/wikiPageRedirects http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:R_from_move http://dbpedia.org/ontology/inflow
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:Reflist,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/formerTeam http://dbpedia.org/resource/Category:Living_people,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/resource/Category:American_pornographic_film_actresses http://dbpedia.org/resource/Italy
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:Reflist,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/formerTeam http://dbpedia.org/resource/Category:Living_people,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/formerTeam http://dbpedia.org/property/playedFor
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:Reflist,http://dbpedia.org/ontology/wikiPageWikiLink http://purl.org/dc/terms/subject http://dbpedia.org/property/wikiPageUsesTemplate http://dbpedia.org/ontology/formerTeam http://dbpedia.org/resource/Category:Living_people,http://dbpedia.org/ontology/genre http://purl.org/dc/terms/subject http://dbpedia.org/property/genre http://dbpedia.org/ontology/associatedMusicalArtist http://dbpedia.org/ontology/associatedBand
,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://purl.org/linguistics/gold/hypernym http://dbpedia.org/resource/Template:Reflist,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/linguistics/gold/hypernym http://purl.org/dc/terms/subject http://dbpedia.org/property/markTitle,http://dbpedia.org/ontology/wikiPageWikiLink http://dbpedia.org/property/wikiPageUsesTemplate http://purl.org/dc/terms/subject http://dbpedia.org/resource/Template:Coord http://dbpedia.org/resource/Template:Reflist
