level0,level1,level2
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /people/person/nationality /film/actor/film./film/performance/film,/influence/influence_node/influenced_by /people/person/profession /people/person/nationality /people/person/places_lived./people/place_lived/location /people/person/religion
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /people/person/nationality /film/actor/film./film/performance/film,/award/award_nominee/award_nominations./award/award_nomination/award_nominee /award/award_winner/awards_won./award/award_honor/award_winner /award/award_nominee/award_nominations./award/award_nomination/nominated_for /film/actor/film./film/performance/film /award/award_nominee/award_nominations./award/award_nomination/award
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /people/person/nationality /film/actor/film./film/performance/film,/award/award_nominee/award_nominations./award/award_nomination/award /people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award_nominee /music/artist/track_contributions./music/track_contribution/role /award/award_winner/awards_won./award/award_honor/award_winner
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /people/person/nationality /film/actor/film./film/performance/film,/film/actor/film./film/performance/film /award/award_nominee/award_nominations./award/award_nomination/award_nominee /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /m/09sb52
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /people/person/nationality /film/actor/film./film/performance/film,/base/popstra/celebrity/friendship./base/popstra/friendship/participant /base/popstra/celebrity/dated./base/popstra/dated/participant /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant /film/actor/film./film/performance/film /award/award_nominee/award_nominations./award/award_nomination/award_nominee
,/m/09nqf /education/educational_institution/students_graduates./education/education/major_field_of_study /education/educational_institution/colors /m/08mbj5d /common/topic/webpage./common/webpage/category,/music/record_label/artist /sports/sports_team/roster./american_football/football_historical_roster_position/position_s /american_football/football_team/current_roster./sports/sports_team_roster/position /sports/sports_team/roster./american_football/football_roster_position/position /soccer/football_team/current_roster./soccer/football_roster_position/position
,/m/09nqf /education/educational_institution/students_graduates./education/education/major_field_of_study /education/educational_institution/colors /m/08mbj5d /common/topic/webpage./common/webpage/category,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school /sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft /baseball/baseball_team/team_stats./baseball/baseball_team_stats/season /sports/sports_team/roster./baseball/baseball_roster_position/position /sports/sports_team/colors
,/m/09nqf /education/educational_institution/students_graduates./education/education/major_field_of_study /education/educational_institution/colors /m/08mbj5d /common/topic/webpage./common/webpage/category,/m/09nqf /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location /m/09c7w0 /business/business_operation/revenue./measurement_unit/dated_money_value/currency /business/business_operation/operating_income./measurement_unit/dated_money_value/currency
,/m/09nqf /education/educational_institution/students_graduates./education/education/major_field_of_study /education/educational_institution/colors /m/08mbj5d /common/topic/webpage./common/webpage/category,/education/educational_institution/students_graduates./education/education/student /education/educational_institution/students_graduates./education/education/major_field_of_study /m/09nqf /m/01mkq /m/02lp1
,/m/09nqf /education/educational_institution/students_graduates./education/education/major_field_of_study /education/educational_institution/colors /m/08mbj5d /common/topic/webpage./common/webpage/category,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film /organization/organization/child./organization/organization_relationship/child /business/business_operation/industry /organization/organization/headquarters./location/mailing_address/citytown /organization/organization/place_founded
