level0,level1,level2
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /people/person/nationality /people/person/places_lived./people/place_lived/location,/influence/influence_node/influenced_by /people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /people/person/nationality /people/person/places_lived./people/place_lived/location
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /people/person/nationality /people/person/places_lived./people/place_lived/location,/award/award_nominee/award_nominations./award/award_nomination/award_nominee /award/award_winner/awards_won./award/award_honor/award_winner /film/actor/film./film/performance/film /award/award_nominee/award_nominations./award/award_nomination/nominated_for /award/award_nominee/award_nominations./award/award_nomination/award
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /people/person/nationality /people/person/places_lived./people/place_lived/location,/film/actor/film./film/performance/film /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /base/popstra/celebrity/dated./base/popstra/dated/participant /base/popstra/celebrity/friendship./base/popstra/friendship/participant
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /people/person/nationality /people/person/places_lived./people/place_lived/location,/award/award_nominee/award_nominations./award/award_nomination/award /music/artist/track_contributions./music/track_contribution/role /people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award_nominee /award/award_winner/awards_won./award/award_honor/award_winner
,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /people/person/nationality /people/person/places_lived./people/place_lived/location,/award/award_nominee/award_nominations./award/award_nomination/award_nominee /award/award_winner/awards_won./award/award_honor/award_winner /people/person/profession /tv/tv_producer/programs_produced./tv/tv_producer_term/program /award/award_nominee/award_nominations./award/award_nomination/nominated_for
,/m/09nqf /education/educational_institution/colors /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/school_type,/education/educational_institution/students_graduates./education/education/major_field_of_study /education/educational_institution/students_graduates./education/education/student /m/09nqf /m/02j62 /education/university/fraternities_and_sororities
,/m/09nqf /education/educational_institution/colors /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/school_type,/award/award_nominee/award_nominations./award/award_nomination/award /music/artist/origin /m/08mbj5d /common/topic/webpage./common/webpage/category /tv/tv_network/programs./tv/tv_network_duration/program
,/m/09nqf /education/educational_institution/colors /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/school_type,/music/record_label/artist /sports/sports_team/roster./american_football/football_historical_roster_position/position_s /sports/sports_team/roster./american_football/football_roster_position/position /american_football/football_team/current_roster./sports/sports_team_roster/position /soccer/football_team/current_roster./sports/sports_team_roster/position
,/m/09nqf /education/educational_institution/colors /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/school_type,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film /business/business_operation/industry /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location /organization/organization/headquarters./location/mailing_address/citytown /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
,/m/09nqf /education/educational_institution/colors /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/school_type,/education/educational_institution/students_graduates./education/education/student /education/educational_institution/students_graduates./education/education/major_field_of_study /education/educational_institution/school_type /m/01jlsn /m/059rby
