level0,level1,level2,level3
,/award/award_category/nominees./award/award_nomination/nominated_for /award/award_category/winners./award/award_honor/award_winner /music/performance_role/track_performances./music/track_contribution/role /soccer/football_team/current_roster./sports/sports_team_roster/position /soccer/football_team/current_roster./soccer/football_roster_position/position,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /people/person/nationality /people/person/gender /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/influence/influence_node/influenced_by /sports/pro_athlete/teams./sports/sports_team_roster/team /soccer/football_player/current_team./sports/sports_team_roster/team /people/person/profession /people/person/nationality
,/award/award_category/nominees./award/award_nomination/nominated_for /award/award_category/winners./award/award_honor/award_winner /music/performance_role/track_performances./music/track_contribution/role /soccer/football_team/current_roster./sports/sports_team_roster/position /soccer/football_team/current_roster./soccer/football_roster_position/position,/people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award /people/person/nationality /people/person/gender /award/award_nominee/award_nominations./award/award_nomination/nominated_for,/award/award_nominee/award_nominations./award/award_nomination/award /music/artist/track_contributions./music/track_contribution/role /people/person/profession /award/award_nominee/award_nominations./award/award_nomination/award_nominee /music/group_member/membership./music/group_membership/role
,/award/award_category/nominees./award/award_nomination/nominated_for /award/award_category/winners./award/award_honor/award_winner /music/performance_role/track_performances./music/track_contribution/role /soccer/football_team/current_roster./sports/sports_team_roster/position /soccer/football_team/current_roster./soccer/football_roster_position/position,/film/film/genre /film/film/other_crew./film/film_crew_gig/film_crew_role /award/award_winning_work/awards_won./award/award_honor/award /film/film/language /m/09c7w0,/film/film/release_date_s./film/film_regional_release_date/film_release_region /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country /m/0f8l9c /m/06mkj /m/0d0vqn
,/award/award_category/nominees./award/award_nomination/nominated_for /award/award_category/winners./award/award_honor/award_winner /music/performance_role/track_performances./music/track_contribution/role /soccer/football_team/current_roster./sports/sports_team_roster/position /soccer/football_team/current_roster./soccer/football_roster_position/position,/film/film/genre /film/film/other_crew./film/film_crew_gig/film_crew_role /award/award_winning_work/awards_won./award/award_honor/award /film/film/language /m/09c7w0,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor /tv/tv_program/genre /award/award_winning_work/awards_won./award/award_honor/award_winner /people/ethnicity/people /award/award_winning_work/awards_won./award/award_honor/award
,/award/award_category/nominees./award/award_nomination/nominated_for /award/award_category/winners./award/award_honor/award_winner /music/performance_role/track_performances./music/track_contribution/role /soccer/football_team/current_roster./sports/sports_team_roster/position /soccer/football_team/current_roster./soccer/football_roster_position/position,/award/award_nominee/award_nominations./award/award_nomination/award_nominee /film/actor/film./film/performance/film /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /award/award_winner/awards_won./award/award_honor/award_winner,/base/popstra/celebrity/dated./base/popstra/dated/participant /base/popstra/celebrity/friendship./base/popstra/friendship/participant /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend /award/award_nominee/award_nominations./award/award_nomination/nominated_for
,/award/award_category/nominees./award/award_nomination/nominated_for /award/award_category/winners./award/award_honor/award_winner /music/performance_role/track_performances./music/track_contribution/role /soccer/football_team/current_roster./sports/sports_team_roster/position /soccer/football_team/current_roster./soccer/football_roster_position/position,/award/award_nominee/award_nominations./award/award_nomination/award_nominee /film/actor/film./film/performance/film /award/award_nominee/award_nominations./award/award_nomination/award /award/award_nominee/award_nominations./award/award_nomination/nominated_for /award/award_winner/awards_won./award/award_honor/award_winner,/award/award_nominee/award_nominations./award/award_nomination/award_nominee /award/award_winner/awards_won./award/award_honor/award_winner /people/person/profession /award/award_nominee/award_nominations./award/award_nomination/nominated_for /tv/tv_producer/programs_produced./tv/tv_producer_term/program
,/music/genre/artists /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/students_graduates./education/education/student /education/educational_institution/students_graduates./education/education/major_field_of_study,/location/location/contains /location/location/adjoin_s./location/adjoining_relationship/adjoins /location/location/time_zones /m/09nqf /olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,/education/educational_institution/students_graduates./education/education/major_field_of_study /education/educational_institution/students_graduates./education/education/student /m/09nqf /education/educational_institution/colors /education/educational_institution/school_type
,/music/genre/artists /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/students_graduates./education/education/student /education/educational_institution/students_graduates./education/education/major_field_of_study,/location/location/contains /location/location/adjoin_s./location/adjoining_relationship/adjoins /location/location/time_zones /m/09nqf /olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school /sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft /sports/sports_team/roster./american_football/football_historical_roster_position/position_s /american_football/football_team/current_roster./sports/sports_team_roster/position /sports/sports_team/roster./american_football/football_roster_position/position
,/music/genre/artists /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/students_graduates./education/education/student /education/educational_institution/students_graduates./education/education/major_field_of_study,/award/award_category/winners./award/award_honor/award_winner /award/award_category/nominees./award/award_nomination/nominated_for /award/award_category/disciplines_or_subjects /base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team /time/event/locations,/government/legislative_session/members./government/government_position_held/legislative_sessions /government/legislative_session/members./government/government_position_held/district_represented /people/cause_of_death/people /m/059rby /m/05k7sb
,/music/genre/artists /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/students_graduates./education/education/student /education/educational_institution/students_graduates./education/education/major_field_of_study,/award/award_category/winners./award/award_honor/award_winner /award/award_category/nominees./award/award_nomination/nominated_for /award/award_category/disciplines_or_subjects /base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team /time/event/locations,/award/award_category/winners./award/award_honor/ceremony /m/0c4ys /m/09n4nb /award/award_category/category_of /m/0466p0j
,/music/genre/artists /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/students_graduates./education/education/student /education/educational_institution/students_graduates./education/education/major_field_of_study,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month /sports/sports_league/teams./sports/sports_league_participation/team /base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer /travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation /education/educational_degree/people_with_this_degree./education/education/institution,/music/genre/artists /music/genre/parent_genre /m/03lty /m/016ntp /m/06by7
,/music/genre/artists /m/08mbj5d /common/topic/webpage./common/webpage/category /education/educational_institution/students_graduates./education/education/student /education/educational_institution/students_graduates./education/education/major_field_of_study,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month /sports/sports_league/teams./sports/sports_league_participation/team /base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer /travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation /education/educational_degree/people_with_this_degree./education/education/institution,/music/instrument/instrumentalists /music/performance_role/track_performances./music/track_contribution/role /music/performance_role/regular_performances./music/group_membership/role /music/performance_role/regular_performances./music/group_membership/group /music/performance_role/guest_performances./music/recording_contribution/performance_role
