me,parent,tau_sums,lambda_sums
0 0,0,0.0003349658482009117,1.45957207e-13 1.45957207e-13 1.45957207e-13 ... 1.45957207e-13
 1.45957207e-13 1.45957207e-13
0 1,0,28840.386537820727,0.61927829 0.60214329 3.83745224 ... 4.37583444 0.164766   0.18551143
0 2,0,6214.595134955015,0.01313097 0.2162382  8.80913882 ... 0.04807818 0.14998871 0.05026255
0 3,0,5931.356214595135,1.15379101e-02 2.37568195e-01 2.07894891e-01 ... 3.68209136e+01
 1.64255795e-01 7.31688252e-02
0 4,0,3565.478173942019,0.52223912 0.29182581 9.36679361 ... 0.21050972 0.01218896 0.04802164
0 0 0,0 0,16577.807397534154,0.11940385 0.10928438 1.0711699  ... 3.24281274 0.85655758 0.25807453
0 0 1,0 0,15611.462845718093,0.18915479 0.33515192 0.0785916  ... 4.10244514 0.83492265 2.97583594
0 0 2,0 0,9646.784405198267,0.2603989  0.03923239 0.25100457 ... 0.26968984 0.20842437 0.09744881
0 0 3,0 0,8680.439853382206,0.02598949 0.00908446 2.17140425 ... 0.04725734 0.37509882 0.21994073
0 0 4,0 0,4931.689436854382,0.06019484 0.01562354 0.36074139 ... 0.01018538 0.06162068 0.04135181
0 1 0,0 1,8780.40653115628,0.01634793 0.10092156 0.22747285 ... 5.77608431 0.70388671 0.14146659
0 1 1,0 1,7614.128623792069,0.02686951 0.25388065 0.22636112 ... 5.00527166 0.21682659 0.22029579
0 1 2,0 1,5248.2505831389535,1.58021115e-01 1.34377877e-02 1.03480820e+01 ... 2.77599645e-01
 3.73599466e-01 8.72601811e-03
0 1 3,0 1,4598.467177607464, 4.10733097  0.43064479 14.55597874 ... 10.30991767  0.03784205
  0.21797378
0 1 4,0 1,2599.133622125958,0.01789383 5.32125296 0.10474178 ... 0.01219098 0.03685052 0.08448049
0 2 0,0 2,2132.6224591802734, 0.31860403  0.20229102 20.83038114 ...  0.2424391   0.30505636
  0.02219128
0 2 1,0 2,1232.9223592135954,0.04304608 0.00934286 0.22536569 ... 0.00153812 0.08721708 0.09205683
0 2 2,0 2,1066.3112295901367,0.11216821 0.10616939 0.04314063 ... 0.18554365 0.09095586 0.21352832
0 2 3,0 2,983.0056647784072,0.02068361 0.00293133 0.40949631 ... 0.06803604 0.10593498 0.01086318
0 2 4,0 2,799.7334221926025, 0.18291479  0.08162885 20.01279979 ...  0.17307136  0.10391706
  0.16603622
0 3 0,0 3,1832.7224258580472,9.99775479e-02 1.28237408e-01 1.95834230e-02 ... 1.23383326e+01
 7.91504756e-03 1.35728284e-01
0 3 1,0 3,1699.4335221592803,0.05526402 0.0262017  0.13998523 ... 0.04599384 0.93449847 0.11159519
0 3 2,0 3,1016.327890703099,1.12012828e-01 8.37445126e-01 4.04440071e-02 ... 6.61697488e+01
 1.09287350e-01 2.11829576e-01
0 3 3,0 3,883.038987004332,3.69143124e-01 4.86465434e-02 1.44087784e-02 ... 4.26789315e+01
 1.38659416e-01 3.10843510e-02
0 3 4,0 3,499.83338887037655,3.13236122e-02 1.21002074e-01 3.80308149e-01 ... 2.12807996e+02
 1.51369789e-01 2.70223342e-01
0 4 0,0 4,1232.9223592135954,0.10051618 0.09709135 0.00810046 ... 0.02386743 0.02847542 0.20547638
0 4 1,0 4,783.0723092302566,3.80477040e-01 7.06914372e-02 4.22842568e+01 ... 2.92308731e-02
 1.97029574e-01 1.78302026e-01
